file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\BaseView.java,com.yanzhenjie.album.mvp.BaseView$OnDialogClickListener,interface,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,innerclass,8,8,0,8,9,1,0,7,0,0.59375,0.23809524,0.2857143,8,2,6,1,1,0,7,0,0,0,4,1,1,3,0,0,1,0,1,58,5,0,1,0,0,0,1,6,0,4,0,1,1,0,35,9,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\MediaLoader.java,com.yanzhenjie.album.sample.MediaLoader,class,4,6,2,4,2,1,0,9,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,class,15,16,1,15,13,3,0,27,3,0.6,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,0,0,8,69,0,0,4,0,0,0,2,12,0,11,2,0,0,0,52,0,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\Contract.java,com.yanzhenjie.album.app.Contract$AlbumPresenter,interface,3,3,0,3,6,1,0,0,15,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumConfig.java,com.yanzhenjie.album.AlbumConfig$Builder,innerclass,4,4,0,4,4,1,0,0,6,0.75,0,0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,15,25,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$Anonymous1,anonymous,3,3,0,3,7,1,0,5,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,2,0,0,0,0,0,0,0,2,0,0,0,37,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\data\ThumbnailBuildTask.java,com.yanzhenjie.album.app.album.data.ThumbnailBuildTask,class,5,6,1,5,7,2,0,7,0,0.41666666,0.6666667,1,4,0,1,0,3,0,4,0,0,0,3,0,0,3,0,0,0,0,0,32,1,1,2,0,0,0,0,4,0,4,2,0,1,0,27,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\DefineStyleActivity.java,com.yanzhenjie.album.sample.app.DefineStyleActivity$Anonymous2,anonymous,3,3,0,3,2,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\DefineStyleActivity.java,com.yanzhenjie.album.sample.app.DefineStyleActivity$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\BasicCameraWrapper.java,com.yanzhenjie.album.api.BasicCameraWrapper,class,4,6,2,4,5,1,0,0,10,0.8,0,0,5,0,5,0,0,0,5,1,2,0,4,0,0,0,0,4,0,0,0,22,3,0,0,0,0,0,0,4,0,4,0,0,0,0,28,1025,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\DefineStyleActivity.java,com.yanzhenjie.album.sample.app.DefineStyleActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\VideoActivity.java,com.yanzhenjie.album.sample.app.VideoActivity$Anonymous4,anonymous,3,3,0,3,2,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\VideoActivity.java,com.yanzhenjie.album.sample.app.VideoActivity$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\VideoActivity.java,com.yanzhenjie.album.sample.app.VideoActivity$Anonymous2,anonymous,3,3,0,3,2,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\VideoActivity.java,com.yanzhenjie.album.sample.app.VideoActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\AlbumActivity.java,com.yanzhenjie.album.sample.app.AlbumActivity$Anonymous4,anonymous,3,3,0,3,2,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\AlbumActivity.java,com.yanzhenjie.album.sample.app.AlbumActivity$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\SquareImageView.java,com.yanzhenjie.album.widget.SquareImageView,class,5,5,0,5,6,2,0,3,4,0.5,0,0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,32,0,0,0,0,0,1,2,2,0,2,1,0,0,0,31,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\AlbumActivity.java,com.yanzhenjie.album.sample.app.AlbumActivity$Anonymous2,anonymous,3,3,0,3,2,1,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\app\AlbumActivity.java,com.yanzhenjie.album.sample.app.AlbumActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\choice\ImageChoice.java,com.yanzhenjie.album.api.choice.ImageChoice,class,4,5,1,4,3,1,0,0,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,15,17,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$AnimatedZoomRunnable,innerclass,4,4,0,4,5,1,0,8,0,0.33333334,1,1,3,0,2,1,0,0,2,0,0,0,3,0,0,3,0,0,3,0,4,31,2,0,1,0,2,0,3,12,7,10,1,0,0,0,37,2,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\gestures\FroyoGestureDetector.java,com.yanzhenjie.album.widget.photoview.gestures.FroyoGestureDetector,class,5,6,1,5,4,3,0,3,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,33,3,0,0,1,0,0,1,2,0,2,1,1,0,0,21,1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\ActivitySource.java,com.yanzhenjie.album.mvp.ActivitySource$Anonymous2,anonymous,2,2,0,2,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$FlingRunnable,innerclass,6,6,0,6,12,1,0,16,0,0.33333334,1,1,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,6,53,2,0,4,0,0,0,4,19,4,13,1,0,0,0,34,2,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\ActivitySource.java,com.yanzhenjie.album.mvp.ActivitySource$Anonymous1,anonymous,2,2,0,2,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\BasicChoiceAlbumWrapper.java,com.yanzhenjie.album.api.BasicChoiceAlbumWrapper,class,7,9,2,7,4,3,0,0,0,0.5,0,0,4,0,3,0,0,1,4,0,0,0,3,0,0,0,0,3,0,0,0,20,3,0,0,0,0,0,5,6,0,3,0,0,0,0,44,1025,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\gestures\FroyoGestureDetector.java,com.yanzhenjie.album.widget.photoview.gestures.FroyoGestureDetector$Anonymous1,anonymous,2,2,0,2,5,1,0,6,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,13,3,0,0,0,0,0,0,1,0,1,1,0,0,0,11,-1,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle$Anonymous2,anonymous,2,2,0,2,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
