file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,getUiStyle/0,mUiStyle,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,ButtonStyle/1[com.yanzhenjie.album.api.widget.Widget.ButtonStyle.Builder],mButtonSelector,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,ButtonStyle/1[com.yanzhenjie.album.api.widget.Widget.ButtonStyle.Builder],mUiStyle,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,ButtonStyle/1[com.yanzhenjie.album.api.widget.Widget.ButtonStyle.Builder],mContext,3
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,getButtonSelector/0,mButtonSelector,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,"writeToParcel/2[com.yanzhenjie.album.api.widget.Parcel,int]",mButtonSelector,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,"writeToParcel/2[com.yanzhenjie.album.api.widget.Parcel,int]",mUiStyle,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,ButtonStyle/1[com.yanzhenjie.album.api.widget.Parcel],mButtonSelector,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,ButtonStyle/1[com.yanzhenjie.album.api.widget.Parcel],mUiStyle,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setMessage/1[int],mTvMessage,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setMakeImageDisplay/1[boolean],mBtnTakeImage,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,"NullView/2[com.yanzhenjie.album.app.album.Activity,com.yanzhenjie.album.app.Contract.NullPresenter]",mActivity,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,"NullView/2[com.yanzhenjie.album.app.album.Activity,com.yanzhenjie.album.app.Contract.NullPresenter]",mBtnTakeVideo,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,"NullView/2[com.yanzhenjie.album.app.album.Activity,com.yanzhenjie.album.app.Contract.NullPresenter]",mToolbar,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,"NullView/2[com.yanzhenjie.album.app.album.Activity,com.yanzhenjie.album.app.Contract.NullPresenter]",mBtnTakeImage,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,"NullView/2[com.yanzhenjie.album.app.album.Activity,com.yanzhenjie.album.app.Contract.NullPresenter]",mTvMessage,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],mActivity,5
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],mBtnTakeVideo,4
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],mToolbar,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],mBtnTakeImage,4
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setMakeVideoDisplay/1[boolean],mBtnTakeVideo,1
