file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\mvp\BaseView.java,com.yanzhenjie.album.mvp.BaseView$OnDialogClickListener,onClick/1[int],which,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,ButtonStyle/1[com.yanzhenjie.album.api.widget.Widget.ButtonStyle.Builder],builder,4
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,"writeToParcel/2[com.yanzhenjie.album.api.widget.Parcel,int]",flags,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,"writeToParcel/2[com.yanzhenjie.album.api.widget.Parcel,int]",dest,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,ButtonStyle/1[com.yanzhenjie.album.api.widget.Parcel],in,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,newLightBuilder/1[com.yanzhenjie.album.api.widget.Context],context,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\api\widget\Widget.java,com.yanzhenjie.album.api.widget.Widget$ButtonStyle,newDarkBuilder/1[com.yanzhenjie.album.api.widget.Context],context,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\MediaLoader.java,com.yanzhenjie.album.sample.MediaLoader,"load/2[com.yanzhenjie.album.sample.ImageView,com.yanzhenjie.album.AlbumFile]",albumFile,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\MediaLoader.java,com.yanzhenjie.album.sample.MediaLoader,"load/2[com.yanzhenjie.album.sample.ImageView,com.yanzhenjie.album.AlbumFile]",imageView,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\MediaLoader.java,com.yanzhenjie.album.sample.MediaLoader,"load/2[com.yanzhenjie.album.sample.ImageView,java.lang.String]",imageView,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\sample\src\main\java\com\yanzhenjie\album\sample\MediaLoader.java,com.yanzhenjie.album.sample.MediaLoader,"load/2[com.yanzhenjie.album.sample.ImageView,java.lang.String]",url,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setMessage/1[int],message,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setMakeImageDisplay/1[boolean],display,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,"NullView/2[com.yanzhenjie.album.app.album.Activity,com.yanzhenjie.album.app.Contract.NullPresenter]",activity,6
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,"NullView/2[com.yanzhenjie.album.app.album.Activity,com.yanzhenjie.album.app.Contract.NullPresenter]",presenter,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],navigationIcon,3
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],drawable,5
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],widget,5
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],statusBarColor,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],buttonStyle,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setupViews/1[com.yanzhenjie.album.api.widget.Widget],buttonSelector,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,setMakeVideoDisplay/1[boolean],display,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,onClick/1[com.yanzhenjie.album.app.album.View],v,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\album\NullView.java,com.yanzhenjie.album.app.album.NullView,onClick/1[com.yanzhenjie.album.app.album.View],id,4
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\Contract.java,com.yanzhenjie.album.app.Contract$AlbumPresenter,clickCamera/1[com.yanzhenjie.album.app.View],v,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\Contract.java,com.yanzhenjie.album.app.Contract$AlbumPresenter,tryPreviewItem/1[int],position,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\Contract.java,com.yanzhenjie.album.app.Contract$AlbumPresenter,"tryCheckItem/2[com.yanzhenjie.album.app.CompoundButton,int]",button,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\app\Contract.java,com.yanzhenjie.album.app.Contract$AlbumPresenter,"tryCheckItem/2[com.yanzhenjie.album.app.CompoundButton,int]",position,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumConfig.java,com.yanzhenjie.album.AlbumConfig$Builder,setAlbumLoader/1[com.yanzhenjie.album.AlbumLoader],loader,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumConfig.java,com.yanzhenjie.album.AlbumConfig$Builder,Builder/1[com.yanzhenjie.album.Context],context,0
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\AlbumConfig.java,com.yanzhenjie.album.AlbumConfig$Builder,setLocale/1[java.util.Locale],locale,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$Anonymous1,"onFling/4[com.yanzhenjie.album.widget.photoview.MotionEvent,com.yanzhenjie.album.widget.photoview.MotionEvent,float,float]",velocityX,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$Anonymous1,"onFling/4[com.yanzhenjie.album.widget.photoview.MotionEvent,com.yanzhenjie.album.widget.photoview.MotionEvent,float,float]",e1,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$Anonymous1,"onFling/4[com.yanzhenjie.album.widget.photoview.MotionEvent,com.yanzhenjie.album.widget.photoview.MotionEvent,float,float]",e2,2
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$Anonymous1,"onFling/4[com.yanzhenjie.album.widget.photoview.MotionEvent,com.yanzhenjie.album.widget.photoview.MotionEvent,float,float]",velocityY,1
C:\Users\91768\Desktop\ood ass 2\6 proj\Album-master\album\src\main\java\com\yanzhenjie\album\widget\photoview\PhotoViewAttacher.java,com.yanzhenjie.album.widget.photoview.PhotoViewAttacher$Anonymous1,onLongPress/1[com.yanzhenjie.album.widget.photoview.MotionEvent],e,0
