file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,"ParentHolder/2[com.yanzhenjie.recyclerview.sample.adapter.View,com.yanzhenjie.recyclerview.ExpandableAdapter]",mTvTitle,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,"ParentHolder/2[com.yanzhenjie.recyclerview.sample.adapter.View,com.yanzhenjie.recyclerview.ExpandableAdapter]",mIvStatus,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,setData/1[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group],mTvTitle,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,setData/1[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group],mIvStatus,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,getItemCount/0,mDataList,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,notifyDataSetChanged/1[java.util.List<java.lang.String>],mDataList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,"onBindViewHolder/2[com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity.ViewHolder,int]",mDataList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,isExpanded/0,isExpanded,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,Group/1[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel],isExpanded,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,Group/1[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel],name,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,Group/1[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel],mMemberList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,"writeToParcel/2[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel,int]",isExpanded,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,"writeToParcel/2[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel,int]",name,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,"writeToParcel/2[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Parcel,int]",mMemberList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,getMemberList/0,mMemberList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,setMemberList/1[java.util.List<com.yanzhenjie.recyclerview.sample.activity.expanded.entity.GroupMember>],mMemberList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,setExpanded/1[boolean],isExpanded,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,getName/0,name,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,setName/1[java.lang.String],name,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\support\src\main\java\com\yanzhenjie\recyclerview\SwipeMenuLayout.java,com.yanzhenjie.recyclerview.SwipeMenuLayout,"judgeOpenClose/2[int,int]",mOpenPercent,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\support\src\main\java\com\yanzhenjie\recyclerview\SwipeMenuLayout.java,com.yanzhenjie.recyclerview.SwipeMenuLayout,"judgeOpenClose/2[int,int]",mScaledTouchSlop,2
