file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,"ParentHolder/2[com.yanzhenjie.recyclerview.sample.adapter.View,com.yanzhenjie.recyclerview.ExpandableAdapter]",adapter,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,"ParentHolder/2[com.yanzhenjie.recyclerview.sample.adapter.View,com.yanzhenjie.recyclerview.ExpandableAdapter]",itemView,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,setData/1[com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group],data,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,notifyDataSetChanged/1[java.util.List<java.lang.String>],dataList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,"onBindViewHolder/2[com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity.ViewHolder,int]",holder,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,"onBindViewHolder/2[com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity.ViewHolder,int]",position,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,"onCreateViewHolder/2[com.yanzhenjie.recyclerview.sample.activity.menu.ViewGroup,int]",parent,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,"onCreateViewHolder/2[com.yanzhenjie.recyclerview.sample.activity.menu.ViewGroup,int]",viewType,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,VerticalAdapter/1[com.yanzhenjie.recyclerview.sample.activity.menu.Context],context,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\group\MenuActivity.java,GroupViewHolder,bind/1[ListItem],item,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\group\MenuActivity.java,GroupViewHolder,GroupViewHolder/1[View],itemView,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalAdapter,"onBindViewHolder/2[ViewHolder,int]",holder,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalAdapter,"onBindViewHolder/2[ViewHolder,int]",position,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalAdapter,notifyDataSetChanged/1[List<String>],dataList,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalAdapter,"onCreateViewHolder/2[ViewGroup,int]",parent,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalAdapter,"onCreateViewHolder/2[ViewGroup,int]",viewType,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalAdapter,VerticalAdapter/1[Context],context,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\SwipeRecyclerView-master\support\src\main\java\com\yanzhenjie\recyclerview\ExpandableAdapter.java,com.yanzhenjie.recyclerview.ExpandableAdapter$Anonymous1,getSpanSize/1[int],position,2
