file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-loadbalancer-spring-boot-starter\src\main\java\com\central\common\lb\chooser\RoundRuleChooser.java,com.central.common.lb.chooser.RoundRuleChooser,choose/1[java.util.List<com.central.common.lb.chooser.ServiceInstance>],instances,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-loadbalancer-spring-boot-starter\src\main\java\com\central\common\lb\chooser\RoundRuleChooser.java,com.central.common.lb.chooser.RoundRuleChooser,choose/1[java.util.List<com.central.common.lb.chooser.ServiceInstance>],serviceInstance,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\service\impl\CustomBearerTokenExtractor.java,com.central.oauth2.common.service.impl.CustomBearerTokenExtractor,extract/1[com.central.oauth2.common.service.impl.HttpServletRequest],request,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\service\impl\CustomBearerTokenExtractor.java,com.central.oauth2.common.service.impl.CustomBearerTokenExtractor,extract/1[com.central.oauth2.common.service.impl.HttpServletRequest],url,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\txlcn-demo\txlcn-demo-common\src\main\java\org\txlcn\demo\common\db\mapper\BaseDemoMapper.java,org.txlcn.demo.common.db.mapper.BaseDemoMapper,deleteById/1[java.lang.Long],id,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\txlcn-demo\txlcn-demo-common\src\main\java\org\txlcn\demo\common\db\mapper\BaseDemoMapper.java,org.txlcn.demo.common.db.mapper.BaseDemoMapper,save/1[org.txlcn.demo.common.db.domain.Demo],demo,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\RedisListenerConfig.java,com.central.oauth.config.RedisListenerConfig,redisMessageListenerContainer/1[com.central.oauth.config.RedisConnectionFactory],container,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\config\RedisListenerConfig.java,com.central.oauth.config.RedisListenerConfig,redisMessageListenerContainer/1[com.central.oauth.config.RedisConnectionFactory],factory,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\code-generator\src\main\java\com\central\generator\mapper\SysGeneratorMapper.java,com.central.generator.mapper.SysGeneratorMapper,"queryTotal/1[java.util.Map<java.lang.String,java.lang.Object>]",map,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\code-generator\src\main\java\com\central\generator\mapper\SysGeneratorMapper.java,com.central.generator.mapper.SysGeneratorMapper,queryTable/1[java.lang.String],tableName,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\code-generator\src\main\java\com\central\generator\mapper\SysGeneratorMapper.java,com.central.generator.mapper.SysGeneratorMapper,"queryList/2[com.central.generator.mapper.Page<java.util.Map<java.lang.String,java.lang.Object>>,java.util.Map<java.lang.String,java.lang.Object>]",page,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\code-generator\src\main\java\com\central\generator\mapper\SysGeneratorMapper.java,com.central.generator.mapper.SysGeneratorMapper,"queryList/2[com.central.generator.mapper.Page<java.util.Map<java.lang.String,java.lang.Object>>,java.util.Map<java.lang.String,java.lang.Object>]",map,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\code-generator\src\main\java\com\central\generator\mapper\SysGeneratorMapper.java,com.central.generator.mapper.SysGeneratorMapper,queryColumns/1[java.lang.String],tableName,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"findByRoles/2[java.util.Set<java.lang.Long>,java.lang.Integer]",roleIds,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"findByRoles/2[java.util.Set<java.lang.Long>,java.lang.Integer]",type,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"findByRoleCodes/2[java.util.Set<java.lang.String>,java.lang.Integer]",roleCodes,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"findByRoleCodes/2[java.util.Set<java.lang.String>,java.lang.Integer]",type,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"setMenuToRole/2[java.lang.Long,java.util.Set<java.lang.Long>]",roleId,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"setMenuToRole/2[java.lang.Long,java.util.Set<java.lang.Long>]",menuId,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"setMenuToRole/2[java.lang.Long,java.util.Set<java.lang.Long>]",menuIds,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,"setMenuToRole/2[java.lang.Long,java.util.Set<java.lang.Long>]",roleMenus,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,findByRoles/1[java.util.Set<java.lang.Long>],roleIds,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\controller\OrderController.java,com.rocketmq.demo.controller.OrderController,produceError/0,message,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\controller\OrderController.java,com.rocketmq.demo.controller.OrderController,produceError/0,order,4
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\controller\OrderController.java,com.rocketmq.demo.controller.OrderController,OrderController/1[com.rocketmq.demo.controller.Source],source,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\controller\OrderController.java,com.rocketmq.demo.controller.OrderController,success/0,message,1
