file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,setEncoding/1[java.lang.String],encoding,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,getTableName/0,tableName,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,getConnectorJarPath/0,connectorJarPath,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,isAnnotationDAO/0,annotationDAO,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,setComment/1[boolean],comment,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,setDaoTargetFolder/1[java.lang.String],daoTargetFolder,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,getEncoding/0,encoding,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,setOverrideXML/1[boolean],overrideXML,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,getMappingXMLTargetFolder/0,mappingXMLTargetFolder,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,getDaoPackage/0,daoPackage,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,setTableName/1[java.lang.String],tableName,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,getMapperName/0,mapperName,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\model\GeneratorConfig.java,com.zzg.mybatis.generator.model.GeneratorConfig,getGenerateKeys/0,generateKeys,1
