file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\view\LeftDbTreeCell.java,com.zzg.mybatis.generator.view.LeftDbTreeCell$Anonymous1,invalidated/1[com.zzg.mybatis.generator.view.Observable],newTreeItem,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\view\LeftDbTreeCell.java,com.zzg.mybatis.generator.view.LeftDbTreeCell$Anonymous1,invalidated/1[com.zzg.mybatis.generator.view.Observable],observable,0
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\view\LeftDbTreeCell.java,com.zzg.mybatis.generator.view.LeftDbTreeCell$Anonymous1,invalidated/1[com.zzg.mybatis.generator.view.Observable],oldTreeItem,2
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\Main.java,com.zzg.mybatis.generator.Main,main/1[java.lang.String[]],args,0
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",longWrapper,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",offset,4
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",getLimit,5
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",topLevelClass,6
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",introspectedTable,0
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",setLimit,5
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",setOffset,5
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",integerWrapper,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",getOffset,5
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"modelExampleClassGenerated/2[com.zzg.mybatis.generator.plugins.TopLevelClass,com.zzg.mybatis.generator.plugins.IntrospectedTable]",limit,4
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,validate/1[java.util.List<java.lang.String>],list,0
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"sqlMapSelectByExampleWithBLOBsElementGenerated/2[com.zzg.mybatis.generator.plugins.XmlElement,com.zzg.mybatis.generator.plugins.IntrospectedTable]",ifLimitNotNullElement,4
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"sqlMapSelectByExampleWithBLOBsElementGenerated/2[com.zzg.mybatis.generator.plugins.XmlElement,com.zzg.mybatis.generator.plugins.IntrospectedTable]",ifOffsetNotNullElement,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"sqlMapSelectByExampleWithBLOBsElementGenerated/2[com.zzg.mybatis.generator.plugins.XmlElement,com.zzg.mybatis.generator.plugins.IntrospectedTable]",introspectedTable,0
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"sqlMapSelectByExampleWithBLOBsElementGenerated/2[com.zzg.mybatis.generator.plugins.XmlElement,com.zzg.mybatis.generator.plugins.IntrospectedTable]",ifOffsetNullElement,3
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"sqlMapSelectByExampleWithBLOBsElementGenerated/2[com.zzg.mybatis.generator.plugins.XmlElement,com.zzg.mybatis.generator.plugins.IntrospectedTable]",element,1
C:\Users\91768\Desktop\ood ass 2\6 proj\mybatis-generator-gui-master\src\main\java\com\zzg\mybatis\generator\plugins\MySQLLimitPlugin.java,com.zzg.mybatis.generator.plugins.MySQLLimitPlugin,"sqlMapSelectByExampleWithoutBLOBsElementGenerated/2[com.zzg.mybatis.generator.plugins.XmlElement,com.zzg.mybatis.generator.plugins.IntrospectedTable]",ifLimitNotNullElement,4
