"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.alipay.sofa.ark.bootstrap","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\archive\src\main\java\com\alipay\sofa\ark\bootstrap\ContainerClassLoader.java","3","73","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.loader.jar","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\archive\src\main\java\com\alipay\sofa\ark\loader\jar\Handler.java","3","57","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.loader.jar","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\archive\src\main\java\com\alipay\sofa\ark\loader\jar\Handler.java","3","129","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.alipay.sofa.ark.loader.jar","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\archive\src\main\java\com\alipay\sofa\ark\loader\jar\Handler.java","3","266","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.loader.jar","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\archive\src\main\java\com\alipay\sofa\ark\loader\jar\JarFile.java","3","407","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.loader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\archive\src\test\java\com\alipay\sofa\ark\loader\ExplodedBizArchiveTest.java","3","85","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.loader.test.base","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\archive\src\test\java\com\alipay\sofa\ark\loader\test\base\BaseTest.java","3","36","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\classloader\AbstractClasspathClassLoader.java","3","132","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\classloader\AbstractClasspathClassLoader.java","3","167","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\classloader\AbstractClasspathClassLoader.java","3","174","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
